id,CodFornec,Fornecedor,colum1,colum2,colum3,colum4,colum5,colum6,colum7,colum8,colum9,colum10,colum11,colum12,colum13,colum14
50,3258,GALLO BRASIL DISTRIBUICAO E COMERCIO LTDA,24,379.0,115.600379,24,365.3725,0.0,0.0,8768.94,6347.463224,2421.476776,27.6142472864451,0.31011466975955,91.0204181723177,27
51,3367,LINDT & SPRUNGLI BRAZIL COMERCIO DE ALIMENTOS LTDA,6,70.0,2.527,6,1432.51166666667,0.0,0.0,8595.07,6439.884295,2155.185705,25.074673097485,0.303965735266773,91.3243839075845,8
52,2134,RCS COMERCIO DE FRANGOS ABATIDOS EIRELI,48,1260.0,1269.59976,48,177.73375,0.0,0.0,8531.22,6824.87067,1706.34933,20.0012346417042,0.301707671958762,91.6260915795433,6
53,2503,INDUSTRIA DE QUEIJOS TINA EIRELI,7,301.8,301.8,7,1214.83,0.0,0.0,8503.81,7278.457566,1225.352434,14.4094521632068,0.30073831384956,91.9268298933928,2
54,444,GRANJA BRASILIA AGROIND AVICOLA S/A,17,860.0,860.0,17,494.917647058824,0.0,0.0,8413.6,7044.754,1368.846,16.2694447085671,0.297548025814859,92.2243779192077,5
55,3718,VALUPI AGROALIMENTOS LTDA,11,656.98,656.98,11,745.156363636364,0.0,0.0,8196.72,7003.920784,1192.799216,14.5521527635444,0.289878037244125,92.5142559564518,0
56,2983,BONO & CONSTANTINO LTDA,22,590.0,590.0,22,358.588636363636,0.0,0.0,7888.95,6343.518185,1545.431815,19.5898290013246,0.278993712352873,92.7932496688047,0
57,404,COOP DOS GRANJ DO OESTE DE MINAS LTDA,13,860.0,860.0,13,582.015384615385,0.0,0.0,7566.2,6788.91048,777.28952,10.2731823108033,0.267579617871112,93.0608292866758,8
58,3809,A R MELO PINHEIRO,14,2061.0,498.45,14,535.345,0.0,0.0,7494.83,5386.449978,2108.380022,28.131125349074,0.26505560881406,93.3258848954898,0
59,2811,SOIN SOCIEDADE INDUSTRIAL IMPORTACAO E EXPORTACAO LTDA,18,677.0,961.24,18,400.817777777778,213.62,2.9608910671516,7214.72,6183.350395,1031.369605,14.2953517946642,0.255149483313561,93.5810343788034,42
60,14,LATICINIOS BELA VISTA LTDA,52,156.0,889.2,52,136.409038461538,0.0,0.0,7093.27,5316.689819,1776.580181,25.0459968533554,0.250854388736304,93.8318887675397,7
61,3334,PONTELAND DISTRIBUICAO SA,32,1471.0,147.93,34,185.926470588235,131.04,2.07292572965277,6321.5,5553.515929,767.984071,12.1487632840307,0.223560645287229,94.0554494128269,45
62,3222,PREDILECTA ALIMENTOS LTDA,43,2013.0,363.770015,43,146.409069767442,0.0,0.0,6295.59,5201.674047,1093.915953,17.3759084216094,0.22264433486733,94.2780937476943,58
63,1203,NISSIN FOODS DO BRASIL LTDA (CUP NOODLES),48,1685.0,119.195,48,130.771458333333,19.65,0.313046138062109,6277.03,4964.769028,1312.260972,20.9057623111567,0.221987958125017,94.5000817058193,17
64,2884,FRIGORIFICO INDUSTRIAL VALE DO PIRANGA S/A,27,465.0,2585.0,29,215.28275862069,68.65,1.09959636084059,6243.2,5160.6205,1082.5795,17.3401380702204,0.220791555905596,94.7208732617249,12
65,3417,COOPERATIVA DOS GRANJEIROS DO OESTE DE MINAS LTDA,12,680.0,680.0,12,497.333333333333,0.0,0.0,5968.0,4701.74398,1266.25602,21.2174266085791,0.21105907317475,94.9319323348996,0
66,3427,MILI S/A,46,911.0,115.0,46,128.948695652174,218.25,3.67942086842762,5931.64,5021.595003,910.044997,15.3422155929895,0.209773197186038,95.1417055320857,7
67,2746,JADE IMPORTACAO E EXPORTACAO DE MANUFATURADOS LTDA,47,1450.0,75.5,48,123.128958333333,0.0,0.0,5910.19,4525.700794,1384.489206,23.4254601967111,0.209014615229001,95.3507201473146,28
68,3361,MOINHO ARAPONGAS S/A,35,1789.0,894.5,35,166.759142857143,0.0,0.0,5836.57,4515.992413,1320.577587,22.6259187673582,0.206411034637994,95.5571311819526,0
69,125,GDC ALIMENTOS S.A,27,1398.0,189.285,28,202.926071428571,567.72,9.99167536382884,5681.93,5319.03832,362.891680000001,6.3867678764082,0.200942171522086,95.7580733534747,59
70,1184,SEARA ALIMENTOS LTDA,31,422.0,422.0,31,182.57935483871,0.0,0.0,5659.96,4307.306492,1352.653508,23.8986407677793,0.200165199699423,95.9582385531742,9
71,1115,LAGO PESCA IND E COM DE PESCADOS,21,721.0,721.0,21,260.735714285714,0.0,0.0,5475.45,4284.000858,1191.449142,21.7598396844095,0.193639980263855,96.151878533438,10
72,3776,GULOZITOS ALIMENTOS LTDA,39,3126.0,139.23,39,138.942564102564,108.4,2.00045766928227,5418.76,3944.411869,1474.348131,27.2082197956728,0.191635131259452,96.3435136646975,0
73,3209,INDUSTRIA DE TEMPERO REGINA LTDA,53,2508.0,777.48,54,96.2009259259259,26.64,0.512815576965649,5194.85,4127.850128,1066.999872,20.5395703822055,0.183716525851516,96.527230190549,33
74,3492,RUPPERS COMERCIO E INDUSTRIA DE ALIMENTOS LTDA,63,1813.0,74.26,63,76.2555555555556,13.45,0.279969192980995,4804.1,3387.49241,1416.60759,29.4874709102642,0.169897602788005,96.697127793337,1
75,2802,ENOVA FOODS SA - CD,15,1249.0,220.45,15,309.409333333333,30.3,0.652856841207117,4641.14,4383.325156,257.814844,5.55498959307412,0.164134501822094,96.8612622951591,11
76,3546,THE PRODUTOS DE LIMPEZA,35,2477.0,2078.1,35,127.184857142857,0.0,0.0,4451.47,3641.759872,809.710128,18.1897244730392,0.157426798335322,97.0186890934944,0
77,3026,ZINHO INDUSTRIAL E COMERCIO ALIMENTOS LTDA,55,416.0,129.3,56,71.9241071428571,127.16,3.1570976351561,4027.75,2842.594461,1185.155539,29.424754242443,0.142441887060925,97.1611309805553,6
78,3424,SAO BRAZ INDUSTRIA DE BEBIDAS LTDA,38,634.0,617.675,39,98.5041025641026,1388.66,36.1473946158692,3841.66,4222.419212,-380.759212,-9.91131989816902,0.135860790725957,97.2969917712813,25
79,3459,DOCE MINEIRO LTDA,29,2031.0,494.399766,29,129.868965517241,0.0,0.0,3766.2,3049.810557,716.389443,19.0215454038553,0.133192138302739,97.430183909584,1
80,2889,AMIPESCA PESCADOS LTDA,19,375.0,375.0075,19,192.836842105263,0.0,0.0,3663.9,2953.2705,710.6295,19.3954392860067,0.129574285892253,97.5597581954763,0
81,3470,MASTERFOODS BRASIL ALIMENTOS LTDA (KITEKAT),20,207.0,313.44,20,173.0625,0.0,0.0,3461.25,2678.074989,783.175011,22.6269414517876,0.122407543067377,97.6821657385436,6
82,2834,LIMA & PERGHER INDUSTRIA E COMERCIO S/A,22,852.0,770.0,25,137.6736,145.38,4.22390349348023,3441.84,2904.148136,537.691864,15.6222213699649,0.121721105967792,97.8038868445114,44
83,3606,BEAUTY LAB DO BRASIL LTDA,46,362.0,83.846666,46,69.1639130434783,0.0,0.0,3181.54,2660.432097,521.107903,16.3791089535257,0.112515563617358,97.9164024081288,0
84,346,RUAH ALIMENTO LTDA,17,413.0,473.47,17,183.941176470588,0.0,0.0,3127.0,2497.020283,629.979717,20.1464572113847,0.11058674963429,98.0269891577631,13
85,3469,M NOBRE PRODUTO DE LIMPEZA LTDA,16,540.0,402.0,16,185.9925,0.0,0.0,2975.88,2197.015446,778.864554,26.1725793378765,0.105242371762613,98.1322315295257,0
86,3248,BRASSUCO INDUSTRIA DE PRODUTOS ALIMENTICIOS LTDA,38,891.0,75.926,38,77.5552631578947,0.0,0.0,2947.1,2151.560764,795.539236,26.9939681721014,0.104224563430514,98.2364560929562,12
87,2902,DISTRIBUIDORA MEMPHIS LTDA. CACH,27,948.0,100.44,27,106.656296296296,0.0,0.0,2879.72,2319.058708,560.661292,19.4692988207187,0.101841661227009,98.3382977541832,15
88,3018,CONSERVAS ODERICH SA,24,636.0,165.48,24,119.415,0.0,0.0,2865.96,2345.99544,519.96456,18.1427710086672,0.101355037090467,98.4396527912737,12
89,3333,NORDESTE MAIS ALIMENTOS LTDA,29,996.0,191.476,29,85.1134482758621,0.0,0.0,2468.29,2061.715193,406.574807,16.4719221404292,0.0872913873536367,98.5269441786273,23
90,3317,L. R. NORDESTE S/A,25,515.0,58.88,25,83.908,0.0,0.0,2097.7,1787.009784,310.690216,14.8109937550651,0.0741854252343621,98.6011296038617,15
91,6,PERDIGAO AGROINDUSTRIAL S/A,4,167.2,167.2,4,514.28,0.0,0.0,2057.12,1587.6489472,469.4710528,22.8217630862565,0.0727503084130767,98.6738799122748,31
92,3634,BERGAMO COMERCIO LTDA,26,162.0,49.344,27,73.4777777777778,0.0,0.0,1983.9,1633.666966,350.233034,17.6537645042593,0.0701608738725514,98.7440407861473,0
93,3640,S J PARAISO CHARQUE LTDA,14,116.0,58.0,14,138.211428571429,0.0,0.0,1934.96,1441.975863,492.984137,25.47774305412,0.0684301045962155,98.8124708907436,0
94,1970,VIGOR ALIMENTOS SA,33,1152.0,230.4,33,54.8436363636364,0.0,0.0,1809.84,1454.509464,355.330536,19.6332568624851,0.0640052200057958,98.8764761107494,0
95,2037,VALE GRANDE INDUSTRIA E COMERCIO DE ALIMENTOS S/A,7,226.43,226.43,7,253.972857142857,0.0,0.0,1777.81,1337.00130988,440.80869012,24.7950394091607,0.0628724750135393,98.9393485857629,2
96,3452,MIRANDA INDUSTRIA DE ALIMENTOS LTDA,6,132.0,132.0,6,269.48,0.0,0.0,1616.88,1255.9776,360.9024,22.3209143535698,0.0571811652538187,98.9965297510167,0
97,3241,QUALICOCO LTDA,13,189.0,41.64,13,121.521538461538,0.0,0.0,1579.78,1284.171501,295.608499,18.7120041398169,0.0558691190717169,99.0523988700884,13
98,2841,RICLAN S.A.,11,111.0,39.729,11,123.909090909091,121.85,8.93983859134263,1363.0,1206.966262,156.033738,11.447816434336,0.0482026670136033,99.100601537102,32
99,3091,SEARA ALIMENTOS LTDA,17,238.0,111.5,17,76.7147058823529,0.0,0.0,1304.15,1098.609554,205.540446,15.7604912011655,0.0461214293366036,99.1467229664386,5
100,3058,NOVA FOODS COMERCIO DE ALIMENTOS LTDA,11,113.0,31.26,11,115.720909090909,0.0,0.0,1272.93,990.73695,282.19305,22.1687799014871,0.0450173300965708,99.1917402965352,6
101,3589,FARMAX S.A.,18,412.0,35.47,18,69.8233333333333,0.0,0.0,1256.82,1015.894024,240.925976,19.1694893461275,0.0444475979134533,99.2361878944486,0
102,405,MASTERFOODS BRASIL ALIMENTOS LTDA (SNACKS),32,118.0,23.799,33,36.809696969697,74.21,6.10922681770284,1214.72,998.037731,216.682269,17.8380424295311,0.0429587261003405,99.279146620549,25
103,3401,BRANNEVE INDUSTRIA E COMERCIO LTDA,8,148.0,73.6,8,149.02125,0.0,0.0,1192.17,1127.032263,65.137737,5.46379601902413,0.0421612425044809,99.3213078630535,2
104,3828,MARIZA AGUAS MINERAIS LTDA,8,735.0,151.8,8,146.79,0.0,0.0,1174.32,946.153062,228.166938,19.4297072348253,0.0415299750017715,99.3628378380552,0
105,3685,BM3 IMPORTACAO E EXPORTACAO LTDA,6,461.0,230.5,6,194.675,0.0,0.0,1168.05,1006.003877,162.046123,13.8732180129275,0.0413082356604837,99.4041460737157,0
106,3838,KASHMEL COSMETICOS LTDA,4,133.0,55.7,4,274.5025,0.0,0.0,1098.01,908.313708,189.696292,17.2763719820402,0.0388312622212814,99.442977335937,0
107,3570,DELUC COMERCIO DE ALIMENTOS LTDA,13,270.0,50.425,13,83.6330769230769,0.0,0.0,1087.23,834.915535,252.314465,23.2070918756841,0.0384500261608216,99.4814273620978,0
108,3675,VEGA DISTRIBUIDORA DE PRODUTOS DE BELEZA LTDA,9,157.0,18.32,9,107.161111111111,0.0,0.0,964.45,792.093203,172.356797,17.8709935196226,0.0341078959657151,99.5155352580635,0
109,1174,SEARA ALIMENTOS LTDA,9,14.0,5.5,9,104.818888888889,0.0,0.0,943.37,777.498576,165.871424,17.582859747501,0.0333623991053726,99.5488976571689,3
110,3330,FUGINI ALIMENTOS LTDA,13,359.0,65.77,13,70.4007692307692,0.0,0.0,915.21,804.475602,110.734398,12.0993431015832,0.0323665171515186,99.5812641743204,7
111,2993,GENIAL QUIMICA VETERINARIA EIRELI,8,84.0,24.162,8,107.32125,0.0,0.0,858.57,675.258169,183.311831,21.3508311494695,0.0303634364034258,99.6116276107238,32
112,3466,LATICINIOS KIFORMAGGIO LTDA (FILIAL),6,9.0,8.08,6,127.086666666667,81.08,10.6331637202959,762.52,672.1224,90.3976,11.8551119970624,0.0269666160317042,99.6385942267555,4
113,1075,FRIGORIFICO PALMEIRA LTDA ME,1,19.36,19.36,1,735.68,0.0,0.0,735.68,598.9022776,136.7777224,18.5920131578947,0.026017416044437,99.6646116428,7
114,429,SEARA ALIMENTOS LTDA,8,79.0,41.7,8,87.8075,0.0,0.0,702.46,506.051951,196.408049,27.9600331691484,0.0248425865519998,99.689454229352,2
115,11,COOPERATIVA DALIA ALIMENTOS LTDA,3,47.05,47.05,3,196.65,0.0,0.0,589.95,537.25725,52.69275,8.93173150266973,0.0208636562029899,99.710317885555,4
116,3737,F & A INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,9,59.0,14.8,9,65.3344444444444,0.0,0.0,588.01,464.1897,123.8203,21.057516028639,0.0207950478581576,99.7311129334131,0
117,3726,LATICINIOS OSCAR SALGADOS LTDA,7,33.0,11.0,7,82.3828571428571,0.0,0.0,576.68,482.501479,94.1785209999999,16.3311578345009,0.0203943609782867,99.7515072943914,0
118,3743,BETTER DRINKS DISTRIBUIDOR E ATACADISTA DE BEBIDAS S/A,2,18.0,13.5,2,266.76,0.0,0.0,533.52,404.8506,128.6694,24.1170715249663,0.0188680021313996,99.7703752965228,0
